;January;February;March;April;May;June;July;August;September;October;November;December;;;
Michigan;growing season is dormant;growing season is dormant;Broccoli, Cabbage;Asparagus, Broccoli, Cabbage;Asparagus, Peas, Potatoes, Rhubarb, Strawberries;Apricots, Blackberries, Cherries, Peaches, Potatoes, Rhubarb, Snap Peas, Squash, Strawberries;Beets, Blackberries, Blueberries, Cantaloupe, Cherries, Cucumbers, Eggplant, Nectarines, Peaches, Potatoes, Raspberries, Snap Peas, Squash, Strawberries, Tomatoes;Apples, Asian Pears, Beets, Blueberries, Cabbage, Cantaloupe, Corn, Cucumbers, Eggplant, Nectarines, Peaches, Raspberries, Snap Peas, Squash, Tomatoes, Watermelon;Apples, Asian Pears, Beets, Broccoli, Cabbage, Cantaloupe, Corn, Eggplant, Peaches, Pumpkin, Raspberries, Snap Peas, Squash, Sweet Potatoes, Tomatoes, Watermelon;Apples, Asian Pears, Broccoli, Cabbage, Pumpkin, Snap Peas, Squash, Sweet Potatoes, Tomatoes, Watermelon;Snap Peas;Snap Peas;;;
Minnesota;Apples, Beets, Cabbage, Carrots, Kale, Mushrooms, Onions, Raspberries, Rutabaga, Sweet Potatoes, Turnips;Apples, Beets, Cabbage, Carrots, Kale, Mushrooms, Onions, Raspberries, Rutabaga, Sweet Potatoes, Turnips;Apples, Beets, Cabbage, Carrots, Kale, Mushrooms, Onions, Raspberries, Rutabaga, Sweet Potatoes, Turnips;Asparagus, Bok Choy, Cauliflower, Kale, Lettuce, Mushrooms, Peas, Radishes, Raspberries, Rhubarb, Scallions, Spinach, Strawberries, Turnips;Asparagus, Bok Choy, Cauliflower, Kale, Lettuce, Mushrooms, Peas, Radishes, Raspberries, Rhubarb, Scallions, Spinach, Strawberries, Turnips;Asparagus, Bok Choy, Cauliflower, Kale, Lettuce, Mushrooms, Peas, Radishes, Raspberries, Rhubarb, Scallions, Snap Peas, Spinach, Strawberries, Turnips;Beets, Broccoli, Cabbage, Carrots, Cauliflower, Celery, Corn, Cucumbers, Currants, Eggplant, Fennel, Lettuce, Mushrooms, Okra, Onions, Potatoes, Raspberries, Scallions, Snap Peas, Squash, Strawberries, Tomatoes, Zucchini;Beets, Broccoli, Cabbage, Carrots, Cauliflower, Celery, Corn, Cucumbers, Currants, Eggplant, Fennel, Lettuce, Mushrooms, Okra, Onions, Potatoes, Raspberries, Scallions, Snap Peas, Squash, Strawberries, Tomatoes, Zucchini;Apples, Beets, Broccoli, Cabbage, Carrots, Cauliflower, Celery, Corn, Cucumbers, Currants, Eggplant, Fennel, Lettuce, Mushrooms, Okra, Onions, Potatoes, Raspberries, Scallions, Snap Peas, Squash, Strawberries, Tomatoes, Zucchini;Apples, Beets, Bok Choy, Broccoli, Brussels Sprouts, Cabbage, Carrots, Cauliflower, Fennel, Kale, Lettuce, Mushrooms, Okra, Onions, Potatoes, Pumpkin, Raspberries, Rutabaga, Scallions, Snap Peas, Sweet Potatoes, Turnips;Apples, Beets, Bok Choy, Broccoli, Brussels Sprouts, Cabbage, Carrots, Cauliflower, Fennel, Kale, Lettuce, Mushrooms, Okra, Onions, Potatoes, Pumpkin, Raspberries, Rutabaga, Scallions, Snap Peas, Sweet Potatoes, Turnips;Apples, Beets, Bok Choy, Broccoli, Brussels Sprouts, Cabbage, Carrots, Cauliflower, Fennel, Kale, Lettuce, Mushrooms, Okra, Onions, Potatoes, Pumpkin, Raspberries, Rutabaga, Scallions, Snap Peas, Sweet Potatoes, Turnips;;;
Mississippi;Scallions, Turnips;Scallions, Turnips;Asparagus, Scallions, Strawberries, Turnips;Asparagus, Onions, Scallions, Strawberries, Turnips;Asparagus, Beets, Blueberries, Cabbage, Cauliflower, Corn, Cucumbers, , Nectarines, Okra, Onions, Peaches, Potatoes, Scallions, Squash, Strawberries, Tomatoes;Asparagus, Beets, Blackberries, Blueberries, Cabbage, Cantaloupe, Carrots, Cauliflower, Corn, Cucumbers, Eggplant, Grapes, , Nectarines, Okra, Onions, Peaches, Potatoes, Snap Peas, Squash, Tomatoes, Watermelon;Apples, Beets, Blackberries, Blueberries, Cabbage, Cantaloupe, Carrots, Cauliflower, Cucumbers, Eggplant, Grapes, , Nectarines, Okra, Peaches, Potatoes, Snap Peas, Squash, Sweet Potatoes, Tomatoes, Watermelon;Apples, Beets, Cabbage, Cantaloupe, Carrots, Eggplant, Grapes, , Nectarines, Okra, Peaches, Pears, Potatoes, Snap Peas, Squash, Sweet Potatoes, Tomatoes, Watermelon;Apples, Beets, Cabbage, Carrots, Cauliflower, Eggplant, Grapes, , Okra, Pears, Pumpkin, Snap Peas, Squash, Sweet Potatoes, Tomatoes;Apples, Beets, Cauliflower, Eggplant, , Pears, Pumpkin, Snap Peas, Sweet Potatoes;Apples, Beets, Cauliflower, Snap Peas, Sweet Potatoes;Snap Peas;;;
Missouri;growing season is dormant;growing season is dormant;Asparagus, Spinach;Asparagus, Lettuce, Peas, Scallions, Spinach;Asparagus, Beets, Broccoli, Brussels Sprouts, Cabbage, Cauliflower, Cherries, Cucumbers, Lettuce, Onions, Radishes, Rhubarb, Scallions, Spinach, Squash, Strawberries, Tomatoes, Turnips, Gooseberries,;Apples, Asparagus, Blackberries, Blueberries, Broccoli, Cabbage, Cantaloupe, Cherries, Corn, Cucumbers, Eggplant, Lettuce, Nectarines, Okra, Onions, Peaches, Potatoes, Radishes, Raspberries, Rhubarb, Scallions, Snap Peas, Squash, Strawberries, Tomatoes, Turnips, Watermelon;Apples, Blackberries, Blueberries, Broccoli, Cabbage, Cantaloupe, Corn, Cucumbers, Eggplant, Grapes, , Nectarines, Okra, Onions, Peaches, Pears, Potatoes, Pumpkin, Radishes, Raspberries, Rhubarb, Scallions, Snap Peas, Squash, Strawberries, Tomatoes, Turnips, Watermelon;Apples, Blackberries, Blueberries, Cantaloupe, Corn, Cucumbers, Eggplant, Grapes, , Nectarines, Okra, Onions, Peaches, Pears, Potatoes, Pumpkin, Radishes, Raspberries, Rhubarb, Scallions, Snap Peas, Squash, Strawberries, Sweet Potatoes, Tomatoes, Turnips, Watermelon;Apples, Blueberries, Broccoli, Cabbage, Cantaloupe, Corn, Cucumbers, Eggplant, Grapes, , Nectarines, Okra, Onions, Peaches, Pears, Potatoes, Pumpkin, Radishes, Raspberries, Rhubarb, Scallions, Snap Peas, Spinach, Squash, Sweet Potatoes, Tomatoes, Turnips, Watermelon;Apples, Broccoli, Cabbage, Cantaloupe, Cucumbers, Eggplant, Grapes, Okra, Onions, Pears, Potatoes, Pumpkin, Radishes, Raspberries, Rhubarb, Scallions, Snap Peas, Spinach, Squash, Sweet Potatoes, Tomatoes, Turnips, Watermelon;Apples, Broccoli, Onions, Pears, Potatoes, Pumpkin, Scallions, Snap Peas, Spinach, Squash, Sweet Potatoes, Bronze, Turnips;Snap Peas, Spinach, Squash;;;
Montana;Apples, Carrots, Onions, Potatoes;Apples, Carrots, Onions, Potatoes;Apples, Carrots, Onions, Potatoes;Apples;Apples, Potatoes;Apples, Broccoli, Cabbage, Carrots, Cherries, Onions, Peaches, Potatoes, Snap Peas, Strawberries, Tomatoes;Apples, Broccoli, Cabbage, Carrots, Cherries, Onions, Peaches, Potatoes, Raspberries, Snap Peas, Strawberries, Tomatoes;Apples, Broccoli, Cabbage, Carrots, Cherries, Corn, Cucumbers, Onions, Peaches, Potatoes, Snap Peas, Strawberries, Tomatoes;Apples, Cabbage, Carrots, Onions, Potatoes, Pumpkin, Snap Peas, Tomatoes;Apples, Cabbage, Carrots, Onions, Potatoes, Pumpkin, Snap Peas, Tomatoes;Apples, Cabbage, Carrots,, Onions, Snap Peas;Apples, Carrots, Onions, Snap Peas;;;
Nebraska;growing season is dormant;growing season is dormant;growing season is dormant;Lettuce;Lettuce;Broccoli, Cabbage, Carrots, Potatoes, Snap Peas, Strawberries;Apples, Broccoli, Cabbage, Peaches, Potatoes, Snap Peas, Tomatoes;Apples, Onions, Peaches, Snap Peas, Tomatoes;Apples, Snap Peas, Tomatoes;Apples, Snap Peas;Snap Peas;Snap Peas;;;
Nevada;growing season is dormant;growing season is dormant;growing season is dormant;growing season is dormant;growing season is dormant;Cucumbers, Snap Peas, Squash;Cucumbers, Potatoes, Snap Peas, Squash, Tomatoes;Apples, Cucumbers, Potatoes, Snap Peas, Squash, Tomatoes;Apples, Cucumbers, Potatoes, Snap Peas, Squash, Tomatoes;Apples, Potatoes, Pumpkin, Snap Peas;Apples, Potatoes, Pumpkin, Snap Peas, ;Apples, Snap Peas;;;
New Hampshire;growing season is dormant;growing season is dormant;growing season is dormant;growing season is dormant;Asparagus, Rhubarb;Asparagus, Broccoli, Cabbage, Cantaloupe, Cherries, Peas, Potatoes, Snap Peas, Strawberries;Apricots, Beets, Blueberries, Broccoli, Cabbage, Cantaloupe, Carrots, Celery, Cherries, Corn, Cucumbers, Eggplant, Kale, Nectarines, Peas, Potatoes, Snap Peas, Squash, Tomatoes;Apples, Apricots, Asian Pears, Beets, Blackberries, Blueberries, Broccoli, Cabbage, Cantaloupe, Carrots, Celery, Corn, Cucumbers, Eggplant, Kale, Nectarines, Pears, Potatoes, Raspberries, Snap Peas, Squash, Tomatoes, Watermelon;Apples, Asian Pears, Beets, Blackberries, Broccoli, Brussels Sprouts, Cabbage, Cantaloupe, Carrots, Corn, Cucumbers, Eggplant, Grapes, Kale, Pears, Potatoes, Pumpkin, Raspberries, Snap Peas, Squash, Tomatoes, Watermelon;Apples, Asian Pears, Beets, Grapes, Kale, Pumpkin, Snap Peas, Squash;Kale, Snap Peas;Snap Peas;;;
New Jersey;growing season is dormant;growing season is dormant;growing season is dormant;Asparagus, Spinach;Asparagus, Broccoli, Lettuce, Peas, Spinach, Strawberries;Asparagus, Beets, Blueberries, Broccoli, Cabbage, Cherries, Cucumbers, Lettuce, Onions, Peas, Snap Peas, Spinach, Squash, Strawberries;Apples, Beets, Blackberries, Blueberries, Broccoli, Cabbage, Corn, Eggplant, Lettuce, , Nectarines, Okra, Onions, Peaches, Potatoes, Raspberries, Snap Peas, Squash, Tomatoes;Apples, Beets, Blackberries, Broccoli, Cabbage, Corn, Cucumbers, Eggplant, Grapes, Lettuce, , Nectarines, Okra, Onions, Peaches, Pears, Potatoes, Raspberries, Snap Peas, Squash, Tomatoes;Apples, Beets, Cabbage, Cauliflower, Corn, Eggplant, Grapes, Lettuce, , Okra, Onions, Potatoes, Pumpkin, Raspberries, Snap Peas, Squash;Apples, Beets, Broccoli, Cabbage, Cauliflower, Lettuce, , Potatoes, Pumpkin;Beets, Cauliflower, Lettuce, Snap Peas;Snap Peas;;;
New Mexico;Lettuce, Radishes;Asparagus, Lettuce, Peas, Radishes, Spinach;Asparagus, Lettuce, Peas, Radishes, Spinach;Asparagus, Lettuce, Peas, Radishes, Rhubarb, Spinach;Apricots, Asparagus, Lettuce, Peas, Radishes, Rhubarb, Spinach;Apricots, Beets, Cabbage, Cherries, Cucumbers, Eggplant, Lettuce, Nectarines, Okra, Onions, Peaches, Peas, Potatoes, Radishes, Raspberries, Snap Peas, Spinach, Squash, Tomatoes, Watermelon;pricots, Beets, Blackberries, Cabbage, Carrots, Cherries, Cucumbers, Eggplant, Grapes, Lettuce, Nectarines, Okra, Onions, Peaches, Peas, Potatoes, Raspberries, Snap Peas, Squash, Sweet Potatoes, Tomatoes, Turnips, Watermelon;Apples, Apricots, Beets, Blackberries, Cabbage, Carrots, Cucumbers, Eggplant, Fennel, Grapes, Lettuce, Nectarines, Okra, Onions, Peaches, Pears, Potatoes, Raspberries, Snap Peas, Squash, Sweet Potatoes, Tomatoes, Turnips, Watermelon;Apples, Beets, Blackberries, Broccoli, Cabbage, Carrots, Cauliflower, Cucumbers, Eggplant, Fennel, Grapes, Lettuce, Nectarines, Okra, Onions, Pears, Potatoes, Pumpkin, Radishes, Raspberries, Snap Peas, Squash, Sweet Potatoes, Tomatoes, Turnips, Watermelon;Apples, Beets, Broccoli, Carrots, Cauliflower, Cucumbers, Eggplant, Fennel, Grapes, Lettuce, Okra, Onions, Pears, Potatoes, Pumpkin, Radishes, Snap Peas, Squash, Sweet Potatoes, Tomatoes, Turnips, Watermelon;Apples, Beets, Broccoli, Carrots, Cauliflower, Cucumbers, Fennel, Grapes, Lettuce, Onions, Pears, Potatoes, Pumpkin, Radishes, Raspberries, Snap Peas, Squash, Sweet Potatoes, Tomatoes, Turnips, Watermelon;Lettuce, Radishes, Snap Peas;;;
New York;Cabbage, Carrots, Onions, Potatoes, Squash, Turnips;Carrots, Onions, Potatoes, Squash, Turnips;Carrots, Onions, Potatoes, Squash, Turnips;Onions, Potatoes, Turnips;Asparagus, Broccoli, Radishes, Rhubarb, Spinach;Broccoli, Cabbage, Cherries, Peas, Potatoes, Radishes, Rhubarb, Snap Peas, Spinach, Squash, Strawberries, Tomatoes;Beets, Blueberries, Broccoli, Cabbage, Carrots, Cauliflower, Celery, Lettuce, Peaches, Peas, Potatoes, Radishes, Raspberries, Rhubarb, Snap Peas, Squash, Tomatoes, Turnips;Beets, Blueberries, Broccoli, Cabbage, Carrots, Cauliflower, Celery, Cucumbers, Eggplant, Grapes, Lettuce, Onions, Peaches, Pears, Potatoes, Radishes, Rhubarb, Snap Peas, Squash, Tomatoes, Turnips;Beets, Blueberries, Broccoli, Cabbage, Carrots, Celery, Cucumbers, Eggplant, Grapes, Lettuce, Onions, Pears, Potatoes, Pumpkin, Radishes, Raspberries, Snap Peas, Squash, Tomatoes, Turnips;Beets, Blueberries, Broccoli, Cabbage, Carrots, Cauliflower, Celery, Eggplant, Grapes, Lettuce, Onions, Pears, Potatoes, Pumpkin, Radishes, Raspberries, Snap Peas, Squash, Tomatoes, Turnips;Beets, Broccoli, Cabbage, Carrots, Cauliflower, Onions, Pears, Potatoes, Radishes, Snap Peas, Squash, Tomatoes, Turnips,;Broccoli, Cabbage, Carrots, Onions, Potatoes, Snap Peas, Squash, Turnips;;;
North Carolina;Apples, Sweet Potatoes;Apples, Sweet Potatoes;Sweet Potatoes;Broccoli, Strawberries, Sweet Potatoes;Blueberries, Broccoli, Cabbage, Squash, Strawberries, Sweet Potatoes;Blueberries, Cabbage, Cantaloupe, Cucumbers, Eggplant, Okra, Peaches, Potatoes, Snap Peas, Squash, Sweet Potatoes, Watermelon;Cabbage, Cantaloupe, Cucumbers, Eggplant, Okra, Peaches, Peas, Potatoes, Snap Peas, Squash, Sweet Potatoes, Tomatoes, Watermelon;Apples, Cabbage, Grapes, Peaches, Peas, Snap Peas, Squash, Sweet Potatoes, Tomatoes, Watermelon;Apples, Cabbage, Cucumbers, Grapes, Peaches, Pumpkin, Snap Peas, Squash, Sweet Potatoes, Tomatoes,;Apples, Broccoli, Cabbage, Cucumbers, Pumpkin, Snap Peas, Sweet Potatoes, Tomatoes;Apples, Broccoli, Cabbage, Cucumbers, Snap Peas, Sweet Potatoes;Apples, Snap Peas, Sweet Potatoes;;;
North Dakota;growing season is dormant;growing season is dormant;growing season is dormant;Cabbage;Cabbage;Cabbage, Snap Peas;Broccoli, Cabbage, Carrots, Cauliflower, Corn, Cucumbers, Eggplant, Kale, Lettuce, Mushrooms, Onions, Peas, Radishes, Raspberries, Rhubarb, Scallions, Snap Peas, Spinach, Squash, Strawberries, Tomatoes, Watermelon;Broccoli, Cabbage, Carrots, Cauliflower, Corn, Cucumbers, Eggplant, Kale, Lettuce, Mushrooms, Onions, Peas, Radishes, Raspberries, Rhubarb, Scallions, Snap Peas, Spinach, Squash, Strawberries, Tomatoes, Watermelon;Broccoli, Cabbage, Carrots, Cauliflower, Corn, Cucumbers, Eggplant, Kale, Lettuce, Mushrooms, Onions, Peas, Radishes, Raspberries, Rhubarb, Scallions, Snap Peas, Spinach, Squash, Strawberries, Tomatoes, Watermelon;Cabbage, Snap Peas;Cabbage, Snap Peas;Cabbage, Snap Peas;;;
Ohio;growing season is dormant;growing season is dormant;growing season is dormant;Asparagus, Spinach;Asparagus, Peas, Spinach, Strawberries;Asparagus, Blueberries, Cabbage, Cherries, Cucumbers, Onions, Peas, Potatoes, Snap Peas, Spinach, Squash, Strawberries;Apples, Blackberries, Blueberries, Broccoli, Cabbage, Corn, Cucumbers, Eggplant, , Nectarines, Okra, Onions, Peaches, Potatoes, Raspberries, Snap Peas, Squash, Tomatoes;Apples, Broccoli, Cabbage, Corn, Cucumbers, Eggplant, Grapes, , Nectarines, Okra, Onions, Peaches, Pears, Potatoes, Raspberries, Snap Peas, Squash, Tomatoes;Apples, Broccoli, Cabbage, Cauliflower, Corn, Eggplant, Grapes, , Okra, Onions, Potatoes, Pumpkin, Raspberries, Snap Peas, Squash, Tomatoes;Apples, Broccoli, Cabbage, Cauliflower, , Pumpkin, Snap Peas;Broccoli, Cauliflower, Snap Peas;Snap Peas;;;
Oklahoma;growing season is dormant;growing season is dormant;Lettuce, Radishes;Beets, Brussels Sprouts, Lettuce, Onions, Peas, Radishes, Turnips;Beets, Broccoli, Brussels Sprouts, Cauliflower, Cucumbers, Lettuce, Onions, Peas, Potatoes, Radishes, Squash, Turnips;Beets, Blackberries, Blueberries, Broccoli, Cauliflower, Corn, Cucumbers, Lettuce, Okra, Onions, Peaches, Potatoes, Snap Peas, Squash, Tomatoes, Watermelon;Apples, Beets, Blackberries, Blueberries, Cantaloupe, Corn, Cucumbers, Lettuce, Okra, Onions, Peaches, Potatoes, Pumpkin, Snap Peas, Squash, Tomatoes, Watermelon;Apples, Beets, Cantaloupe, Corn, Cucumbers, Okra, Peaches, Pears, Pumpkin, Snap Peas, Squash, Tomatoes, Watermelon;Apples, Beets, Cantaloupe, Cucumbers, Okra, Peaches, Pears, Pumpkin, Radishes, Snap Peas, Squash, Tomatoes, Watermelon;Apples, Beets, Broccoli, Brussels Sprouts, Cantaloupe, Cauliflower, Cucumbers, Lettuce, Pears, Peas, Pumpkin, Radishes, Snap Peas, Squash, Tomatoes, Turnips, Watermelon;Beets, Brussels Sprouts, Pears, Potatoes, Pumpkin, Radishes, Snap Peas, Squash, Turnips;Beets, Brussels Sprouts, Potatoes, Snap Peas;;;
Oregon;growing season is dormant;growing season is dormant;growing season is dormant;Rhubarb;Asparagus, Rhubarb;Asparagus, Cherries, Raspberries, Rhubarb, Snap Peas, Strawberries;Apples, Apricots, Asparagus, Beets, Blackberries, Blueberries, Broccoli, Cabbage, Carrots, Celery, Cherries, Cucumbers, Eggplant, Nectarines, Peaches, Peas, Raspberries, Rhubarb, Snap Peas, Squash, Strawberries, Tomatoes;Apples, Apricots, Asian Pears, Beets, Blackberries, Blueberries, Broccoli, Cabbage, Cantaloupe, Carrots, Celery, Corn, Cucumbers, Eggplant, Nectarines, Peaches, Pears, Peas, Potatoes, Raspberries, Snap Peas, Squash, Tomatoes;Apples, Asian Pears, Beets, Blackberries, Blueberries, Broccoli, Brussels Sprouts, Cabbage, Cantaloupe, Carrots, Corn, Cucumbers, Eggplant, Nectarines, Peaches, Pears, Potatoes, Pumpkin, Raspberries, Snap Peas, Squash, Tomatoes,;Apples, Asian Pears, Broccoli, Brussels Sprouts, Cabbage, Carrots, Corn, Potatoes, Pumpkin, Snap Peas, Squash, Tomatoes;Apples, Brussels Sprouts, Cabbage, Carrots, Potatoes, Snap Peas;Potatoes, Snap Peas;;;
Pennsylvania;Celery, Lettuce, Turnips;Celery, Lettuce, Turnips;Lettuce;Asparagus, Lettuce, Tomatoes;Asparagus, Lettuce, Peas, Spinach, Tomatoes;Asparagus, Broccoli, Cabbage, Cauliflower, Celery, Lettuce, Peas, Snap Peas, Spinach, Squash, Tomatoes;Beets, Broccoli, Cabbage, Cantaloupe, Carrots, Cauliflower, Celery, Corn, Cucumbers, Eggplant, Lettuce, , Snap Peas, Squash, Tomatoes, Watermelon;Beets, Cabbage, Cantaloupe, Carrots, Celery, Corn, Cucumbers, Eggplant, Lettuce, , Potatoes, Snap Peas, Squash, Tomatoes, Turnips, Watermelon;Beets, Broccoli, Brussels Sprouts, Cabbage, Cantaloupe, Carrots, Cauliflower, Celery, Corn, Cucumbers, Eggplant, Lettuce, , Potatoes, Pumpkin, Snap Peas, Spinach, Squash, Tomatoes, Turnips, Watermelon;Beets, Broccoli, Brussels Sprouts, Cabbage, Carrots, Cauliflower, Celery, Corn, Eggplant, Lettuce, , Potatoes, Pumpkin, Snap Peas, Spinach, Squash, Tomatoes, Turnips, Watermelon;Beets, Broccoli, Brussels Sprouts, Cabbage, Carrots, Cauliflower, Celery, Lettuce, Potatoes, Pumpkin, Snap Peas, Squash, Tomatoes, Turnips;Beets, Broccoli, Brussels Sprouts, Cabbage, Carrots, Celery, Lettuce, Potatoes, Pumpkin, Snap Peas, Squash, Tomatoes, Turnips;;;
Rhode Island;Apples, Beets, Broccoli, Brussels Sprouts, Cabbage, Carrots, Cauliflower, Kale, Mushrooms, Onions, Potatoes, Squash, Sweet Potatoes;Apples, Brussels Sprouts, Cabbage, Carrots, Kale, Mushrooms, Onions, Potatoes, Squash;Apples, Brussels Sprouts, Carrots, Kale, Mushrooms, Onions, Potatoes;Apples, Asparagus, Carrots, Kale, Lettuce, Mushrooms, Onions, Potatoes;Apples, Asparagus, Kale, Lettuce, Mushrooms, Onions, Radishes, Rhubarb, Scallions, Spinach, Strawberries;Apples, Asparagus, Beets, Bok Choy, Broccoli, Cabbage, Carrots, Fennel, Kale, Lettuce, Mushrooms, Peas, Radishes, Raspberries, Rhubarb, Scallions, Snap Peas, Spinach, Squash, Strawberries, Tomatoes, Zucchini;Apples, Beets, Blackberries, Blueberries, Bok Choy, Broccoli, Brussels Sprouts, Cabbage, Carrots, Cauliflower, Celery, Cherries, Cucumbers, Currants, Eggplant, Fennel, Kale, Lettuce, Mushrooms, Nectarines, Okra, Onions, Peaches, Peas, Potatoes, Radishes, Rhubarb, Scallions, Snap Peas, Squash, Tomatoes, Turnips, Watermelon, Zucchini;Apples, Apricots, Beets, Blueberries, Bok Choy, Broccoli, Brussels Sprouts, Cabbage, Cantaloupe, Carrots, Cauliflower, Celery, Cucumbers, Currants, Eggplant, Fennel, Kale, Lettuce, Mushrooms, Nectarines, Okra, Onions, Peaches, Pears, Potatoes, Pumpkin, Radishes, Rhubarb, Scallions, Snap Peas, Spinach, Squash, Sweet Potatoes, Tomatoes, Turnips, Watermelon, Zucchini;Apples, Apricots, Beets, Bok Choy, Broccoli, Brussels Sprouts, Cabbage, Cantaloupe, Carrots, Cauliflower, Celery, Cucumbers, Eggplant, Fennel, Grapes, Kale, Lettuce, Mushrooms, Nectarines, Okra, Onions, Peaches, Pears, Potatoes, Pumpkin, Radishes, Raspberries, Rhubarb, Rutabaga, Scallions, Snap Peas, Spinach, Squash, Sweet Potatoes, Tomatoes, Turnips, Watermelon, Zucchini;Apples, Beets, Bok Choy, Broccoli, Brussels Sprouts, Cabbage, Carrots, Cauliflower, Celery, Cucumbers, Eggplant, Fennel, Grapes, Kale, Lettuce, Mushrooms, Onions, Peaches, Pears, Peas, Potatoes, Pumpkin, Radishes, Rhubarb, Rutabaga, Scallions, Snap Peas, Spinach, Squash, Sweet Potatoes, Tomatoes, Turnips, Zucchini;Apples, Beets, Broccoli, Brussels Sprouts, Cabbage, Carrots, Cauliflower, Celery, Fennel, Grapes, Kale, Mushrooms, Onions, Peaches, Pears, Potatoes, Pumpkin, Radishes, Rutabaga, Scallions, Snap Peas, Spinach, Squash, Sweet Potatoes, Turnips,;Apples, Beets, Broccoli, Brussels Sprouts, Cabbage, Carrots, Cauliflower, Kale, Mushrooms, Onions, Potatoes, Pumpkin, Rutabaga, Snap Peas, Squash, Sweet Potatoes;;;
South Carolina;growing season is dormant;growing season is dormant;Scallions;Cabbage, Scallions;Cabbage, Cantaloupe, Corn, Cucumbers, Peaches, Scallions, Squash;Cabbage, Cantaloupe, Corn, Cucumbers, Peaches, Scallions, Snap Peas, Squash, Tomatoes;Cantaloupe, Corn, Peaches, Scallions, Snap Peas, Squash, Tomatoes, Watermelon;Cantaloupe, Corn, Peaches, Scallions, Snap Peas, Squash, Sweet Potatoes, Watermelon;Apples, Cucumbers, Peaches, Scallions, Snap Peas, Squash, Sweet Potatoes, Tomatoes;Apples, Cucumbers, Scallions, Snap Peas, Squash, Sweet Potatoes, Tomatoes,;Apples, Cucumbers, Scallions, Snap Peas, Sweet Potatoes, Tomatoes;Apples, Snap Peas, Sweet Potatoes,;;;
South Dakota;apples;apples;apples;Cabbage;Cabbage;Cabbage, Snap Peas;Broccoli, Cabbage, Carrots, Lettuce, Onions, Potatoes, Snap Peas, Strawberries, Tomatoes;Broccoli, Cabbage, Carrots, Lettuce, Onions, Potatoes, Snap Peas, Strawberries, Tomatoes;Broccoli, Cabbage, Carrots, Lettuce, Onions, Potatoes, Snap Peas, Strawberries, Tomatoes;Cabbage, Snap Peas;Cabbage, Snap Peas;Cabbage, Snap Peas;;;
Tennessee;, Mushrooms, Sweet Potatoes;, Mushrooms, Sweet Potatoes;, Mushrooms, Sweet Potatoes;Asparagus, , Mushrooms;Asparagus, Broccoli, Cabbage, Carrots, Cauliflower, , Kale, Lettuce, Mushrooms, Onions, Raspberries, Rhubarb, Spinach, Strawberries, Sweet Potatoes;Apples, Blackberries, Blueberries, Cabbage, Cantaloupe, Carrots, Cherries, Corn, Cucumbers, , Kale, Lettuce, Mushrooms, Onions, Peaches, Raspberries, Rhubarb, Snap Peas, Spinach, Squash, Tomatoes;Apples, Beets, Blackberries, Blueberries, Cabbage, Cantaloupe, Cherries, Corn, Cucumbers, Eggplant, Grapes, , , Mushrooms, Nectarines, Okra, Onions, Peaches, Peas, Raspberries, Snap Peas, Squash, Tomatoes;Apples, Blackberries, Blueberries, Cabbage, Cantaloupe, Corn, Cucumbers, Eggplant, Grapes, , , Mushrooms, Okra, Onions, Peaches, Peas, Raspberries, Snap Peas, Squash, Tomatoes;Apples, Blackberries, Cabbage, Corn, Cucumbers, Eggplant, , Kale, , Mushrooms, Okra, Pears, Peas, Pumpkin, Raspberries, Snap Peas, Squash, Tomatoes, Turnips, Watermelon;Apples, Bok Choy, Broccoli, Cabbage, , Kale, Mushrooms, Pumpkin, Snap Peas, Squash, Turnips, Watermelon;Cabbage, , Kale, Mushrooms, Snap Peas, Turnips, Watermelon;, Mushrooms, Snap Peas;;;
